Gress et al. 2026. Supplementary Material. Taxon and family lookup table used for the genomic-distance analyses.

family,species
Aphanipathidae,Acanthopathes_humilis_USNM1484553
Aphanipathidae,Acanthopathes_undulata_USNM99807
Antipathidae,Allopathes_desbonni_USNM88327
Antipathidae,Allopathes_sp_USNM1689376
Schizopathidae,Alternatipathes_bipinnata_USNM1234554
Schizopathidae,Alternatipathes_mirabilis_USNM1070972
Schizopathidae,Alternatipathes_venusta_USNM1404492
Ameripathidae,Ameripathes_pseudomyriophylla_USNM1689101
Ameripathidae,Ameripathes_pseudomyriophylla_USNM1689129
Aphanipathidae,Anozopathes_hawaiiensis_USNM1010741
Aphanipathidae,Anozopathes_palauensis_USNM1007104
Antipathidae,Antipathes_aculeata_MTQG80032
Antipathidae,Antipathes_arborea_MTQ77188
Antipathidae,Antipathes_caribbeana_USNM1122627
Antipathidae,Antipathes_curvata_MTQG79996
Antipathidae,Antipathes_delicatula_MTQG77186
Antipathidae,Antipathes_dendrochristos_USNM1467666
Antipathidae,Antipathes_dichotoma_NMNH1280884
Antipathidae,Antipathes_dichotoma_UGSARD13
Antipathidae,Antipathes_falkorae_MTQG80067
Antipathidae,Antipathes_flabellum_INVM110519
Antipathidae,Antipathes_fruticosa_MTQG80070
Antipathidae,Antipathes_grandis_MTQG80005
Antipathidae,Antipathes_leptocrada_MTQG80066
Antipathidae,Antipathes_simplex_MTQG80062
Aphanipathidae,Aphanipathes_cf_pedata_USNM1410008
Aphanipathidae,Aphanipathes_puertoricoensis_USNM1660436
Aphanipathidae,Aphanipathes_sarothamnoides_USNM1007094
Aphanipathidae,Aphanipathes_verticillata_MTQG80075
Aphanipathidae,Aphanostichopathes_dissimilis_USNM1606539
Pteridopathidae,Asteriopathes_arachniformis_MTQG80021
Pteridopathidae,Asteriopathes_arachniformis_USNM1007096
Pteridopathidae,Asteriopathes_colini_MTQG80153
Pteridopathidae,Asteriopathes_colini_USNM1007092
Schizopathidae,Bathypathes_cf_patula_NIWA4295
Schizopathidae,Bathypathes_platycaulus_NIWA4288
Schizopathidae,Bathypathes_pseudoalternata_MTQG80040
Schizopathidae,Bathypathes_pseudoalternata_NIWA64561
Antipathidae,Blastopathes_medusa_MTQ74924
Antipathidae,Cirrhipathes_anguina_INVM110716
Myriopathidae,Cupressopathes_abies_MTQG74918
Myriopathidae,Cupressopathes_simplex_NIWA19863
Myriopathidae,Cupressopathes_sp_MTQG74917
Schizopathidae,Dendropathes_sp_CAS223580
Schizopathidae,Diplopathes_antartica_NIWA38070
Eidikopathidae,Eidikopathes_korallispongia_RSIOANT0048
Eidikopathidae,Eidikopathes_korallispongia_RSIOANT0050
Eidikopathidae,Eidikopathes_sylospongia_RSIOANT0049
Eidikopathidae,Eidikopathes_sylospongia_RSIOANT0051
Eidikopathidae,Eidikopathes_sylospongia_USNM1467600
Eidikopathidae,Eidikopathes_zealandkorallia_NIWA180818
Pteridopathidae,Elatopathes_abietina_USNM1676346
Pteridopathidae,Elatopathes_abietina_USNM1695054
Cladopathidae,Heteropathes_americana_USNM1483032
Cladopathidae,Hexapathes_bikofskii_MTQG80122
Leiopathidae,Leiopathes_annosa_USNM1071405
Leiopathidae,Leiopathes_sp_USNM1606568
Schizopathidae,Lillipathes_lilliei_CAS179055
Pteridopathidae,Pteridopathes_pinnata_USNM1007089
Pteridopathidae,Pteridopathes_tanycrada_USNM1007091
Aphanipathidae,Rhipidipathes_helae_MTQG80117
Schizopathidae,Schizopathes_crassa_USNM78796
Schizopathidae,Stauropathes_staurocrada_USNM1071042
Antipathidae,Stichopathes_flagellum_MTQG80013
Antipathidae,Stichopathes_maldivensis_INVM251115
Antipathidae,Stichopathes_sp_USNM1695049
Antipathidae,Stichopathes_sp1_MTQG74923
Antipathidae,Stichopathes_sp2_TMAGK4320
Stylopathidae,Stylopathes_americana_USNM1659395
Stylopathidae,Stylopathes_americana_USNM1660446
Stylopathidae,Stylopathes_columnaris_USNM1689097
Stylopathidae,Stylopathes_sp_USNM1689139
Stylopathidae,Stylopathes_sp1_MTQG74916
Stylopathidae,Stylopathes_sp2_MTQG80174
Stylopathidae,Stylopathes_sp3_MTQG80044
Myriopathidae,Tanacetipathes_cf_hirta_USNM1695043
Myriopathidae,Tanacetipathes_cf_tanacetum_USNM1695042
Schizopathidae,Telopathes_magna_USNM1204049
Schizopathidae,Umbellapathes_sp_CAS223581
Cladopathidae,Trissopathes_pseudotristicha_USNM1689265
