Gress et al. 2026. Supplementary Material. Unresolved specimens excluded from family- and genus-level analyses.

family,species
Ameripathidae,Ameripathes_pseudomyriophylla_USNM1689101
Ameripathidae,Ameripathes_pseudomyriophylla_USNM1689129
Antipathidae,Allopathes_desbonni_USNM88327
Antipathidae,Allopathes_sp_USNM1689376
Antipathidae,Antipathes_dendrochristos_USNM1467666
Antipathidae,Antipathes_dichotoma_NMNH1280884
Antipathidae,Antipathes_dichotoma_UGSARD13
Antipathidae,Pseudocirrhipathes_sp_USNM99810
Aphanipathidae,Aphanipathes_verticillata_MTQG80075
Aphanipathidae,Rhipidipathes_helae_MTQG80117
Stylopathidae,Stylopathes_sp1_MTQG74916
Stylopathidae,Stylopathes_sp2_MTQG80174
Stylopathidae,Stylopathes_sp3_MTQG80044
