Gress et al. 2026. Supplementary Material. Eidikopathidae interspecific patristic distance comparisons.

specimen1,specimen2,species1,species2,distance
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_sylospongia_RSIOANT0049,korallispongia,sylospongia,0.007161
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_sylospongia_RSIOANT0051,korallispongia,sylospongia,0.007073
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_sylospongia_USNM1467600,korallispongia,sylospongia,0.007168
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_zealandkorallia_NIWA180818,korallispongia,zealandkorallia,0.012819
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0049,korallispongia,sylospongia,0.007151
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0051,korallispongia,sylospongia,0.007063
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_USNM1467600,korallispongia,sylospongia,0.007159
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_zealandkorallia_NIWA180818,korallispongia,zealandkorallia,0.012809
Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_zealandkorallia_NIWA180818,sylospongia,zealandkorallia,0.01327
Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_zealandkorallia_NIWA180818,sylospongia,zealandkorallia,0.013182
Eidikopathes_sylospongia_USNM1467600,Eidikopathes_zealandkorallia_NIWA180818,sylospongia,zealandkorallia,0.013277
