Gress et al. 2026. Supplementary Material. Between-genus within-family patristic distance ranges among resolved specimens.

family,genus1,genus2,min_distance,min_pair,max_distance,max_pair,n_comparisons
Antipathidae,Antipathes,Blastopathes,0.098912,Antipathes_fruticosa_MTQG80070 - Blastopathes_medusa_MTQ74924,0.191877,Antipathes_simplex_MTQG80062 - Blastopathes_medusa_MTQ74924,11
Antipathidae,Antipathes,Cirrhipathes,0.031679,Antipathes_grandis_MTQG80005 - Cirrhipathes_anguina_INVM110716,0.219795,Antipathes_simplex_MTQG80062 - Cirrhipathes_anguina_INVM110716,11
Antipathidae,Antipathes,Stichopathes,0.013212,Antipathes_curvata_MTQG79996 - Stichopathes_sp2_TMAGK4320,0.215949,Antipathes_simplex_MTQG80062 - Stichopathes_sp1_MTQG74923,44
Antipathidae,Blastopathes,Cirrhipathes,0.113508,Blastopathes_medusa_MTQ74924 - Cirrhipathes_anguina_INVM110716,0.113508,Blastopathes_medusa_MTQ74924 - Cirrhipathes_anguina_INVM110716,1
Antipathidae,Blastopathes,Stichopathes,0.098121,Blastopathes_medusa_MTQ74924 - Stichopathes_sp2_TMAGK4320,0.109662,Blastopathes_medusa_MTQ74924 - Stichopathes_sp1_MTQG74923,4
Antipathidae,Cirrhipathes,Stichopathes,0.032434,Cirrhipathes_anguina_INVM110716 - Stichopathes_sp1_MTQG74923,0.085447,Cirrhipathes_anguina_INVM110716 - Stichopathes_sp2_TMAGK4320,4
Aphanipathidae,Acanthopathes,Anozopathes,0.057183,Acanthopathes_humilis_USNM1484553 - Anozopathes_palauensis_USNM1007104,0.062497,Acanthopathes_undulata_USNM99807 - Anozopathes_hawaiiensis_USNM1010741,4
Aphanipathidae,Acanthopathes,Aphanipathes,0.052267,Acanthopathes_humilis_USNM1484553 - Aphanipathes_cf_pedata_USNM1410008,0.058995,Acanthopathes_undulata_USNM99807 - Aphanipathes_puertoricoensis_USNM1660436,6
Aphanipathidae,Acanthopathes,Aphanostichopathes,0.053374,Acanthopathes_humilis_USNM1484553 - Aphanostichopathes_dissimilis_USNM1606539,0.058089,Acanthopathes_undulata_USNM99807 - Aphanostichopathes_dissimilis_USNM1606539,2
Aphanipathidae,Anozopathes,Aphanipathes,0.052177,Anozopathes_palauensis_USNM1007104 - Aphanipathes_cf_pedata_USNM1410008,0.054791,Anozopathes_hawaiiensis_USNM1010741 - Aphanipathes_puertoricoensis_USNM1660436,6
Aphanipathidae,Anozopathes,Aphanostichopathes,0.016804,Anozopathes_palauensis_USNM1007104 - Aphanostichopathes_dissimilis_USNM1606539,0.017403,Anozopathes_hawaiiensis_USNM1010741 - Aphanostichopathes_dissimilis_USNM1606539,2
Aphanipathidae,Aphanipathes,Aphanostichopathes,0.048368,Aphanipathes_cf_pedata_USNM1410008 - Aphanostichopathes_dissimilis_USNM1606539,0.050382,Aphanipathes_puertoricoensis_USNM1660436 - Aphanostichopathes_dissimilis_USNM1606539,3
Cladopathidae,Heteropathes,Hexapathes,0.024919,Heteropathes_americana_USNM1483032 - Hexapathes_bikofskii_MTQG80122,0.024919,Heteropathes_americana_USNM1483032 - Hexapathes_bikofskii_MTQG80122,1
Cladopathidae,Heteropathes,Trissopathes,0.028843,Heteropathes_americana_USNM1483032 - Trissopathes_pseudotristicha_USNM1689265,0.028843,Heteropathes_americana_USNM1483032 - Trissopathes_pseudotristicha_USNM1689265,1
Cladopathidae,Hexapathes,Trissopathes,0.031128,Hexapathes_bikofskii_MTQG80122 - Trissopathes_pseudotristicha_USNM1689265,0.031128,Hexapathes_bikofskii_MTQG80122 - Trissopathes_pseudotristicha_USNM1689265,1
Myriopathidae,Cupressopathes,Tanacetipathes,0.017755,Cupressopathes_simplex_NIWA19863 - Tanacetipathes_cf_tanacetum_USNM1695042,0.019506,Cupressopathes_abies_MTQG74918 - Tanacetipathes_cf_hirta_USNM1695043,4
Pteridopathidae,Asteriopathes,Elatopathes,0.055207,Asteriopathes_colini_USNM1007092 - Elatopathes_abietina_USNM1695054,0.057049,Asteriopathes_arachniformis_MTQG80021 - Elatopathes_abietina_USNM1676346,8
Pteridopathidae,Asteriopathes,Pteridopathes,0.007802,Asteriopathes_colini_MTQG80153 - Pteridopathes_pinnata_USNM1007089,0.020124,Asteriopathes_arachniformis_MTQG80021 - Pteridopathes_tanycrada_USNM1007091,8
