Gress et al. 2026. Supplementary Material. Family-pair patristic summary statistics.

family1,family2,mean,min,max,CI_low,CI_high,n
Antipathidae,Aphanipathidae,0.2687743080180555,0.2237359102,0.3198884359,0.2644037090655035,0.27362657071388885,144
Antipathidae,Cladopathidae,0.36778855447222225,0.3271624882,0.4129172737,0.3608623750912963,0.37667927287444447,54
Antipathidae,Eidikopathidae,0.3264382748722223,0.2861755361,0.3707630461,0.32165248831965276,0.3320733536938889,108
Antipathidae,Leiopathidae,0.5040053607055555,0.4637635855,0.5479923186,0.49575506643937495,0.5138248171791667,36
Antipathidae,Myriopathidae,0.32408063704555556,0.2831332265,0.3681580762,0.31864604203599994,0.33080782809280557,90
Antipathidae,Pteridopathidae,0.28650157965555556,0.2444626059,0.3328547324,0.2819864991192708,0.2911707893007465,144
Antipathidae,Schizopathidae,0.37876964862698415,0.3323024845,0.4315805431,0.3749808491919643,0.3821327531467262,252
Antipathidae,Stylopathidae,0.3215691836555556,0.2792332484,0.3693572957,0.31502091017055556,0.32864958260003474,72
Aphanipathidae,Cladopathidae,0.19714764589999997,0.1915874068,0.2065821078,0.19584141265869562,0.19850040678315217,24
Aphanipathidae,Eidikopathidae,0.15511712830952382,0.1506004547,0.1644278802,0.15444614546184524,0.1557326988360119,48
Aphanipathidae,Leiopathidae,0.3330300379923077,0.3281885041,0.3416571526999999,0.3319829889046154,0.3341051763432692,16
Aphanipathidae,Myriopathidae,0.15291247122941176,0.1475581451,0.1618229103,0.152186002145,0.1535643504183088,40
Aphanipathidae,Pteridopathidae,0.11577758910655737,0.1088875245,0.1265195665,0.11481508267155736,0.11658636128610654,64
Aphanipathidae,Schizopathidae,0.20852184263392856,0.1967274031,0.2252453771999999,0.20743361842174105,0.20959639320814732,112
Aphanipathidae,Stylopathidae,0.15094393404516127,0.143658167,0.1630221298,0.1496579529317742,0.15220587372225805,32
Cladopathidae,Eidikopathidae,0.21504844933333334,0.2138707667,0.217300452,0.2145886277651389,0.2155723782213889,18
Cladopathidae,Leiopathidae,0.3018792603666666,0.3007225413,0.3037934497,0.3009897390883333,0.3028975901,6
Cladopathidae,Myriopathidae,0.21269081150666663,0.2108284571,0.2146954821,0.21208069393683335,0.21329429886449996,15
Cladopathidae,Pteridopathidae,0.17511175411666668,0.1721578365,0.1793921383,0.17427450732375002,0.17596362169083335,24
Cladopathidae,Schizopathidae,0.11181606548809525,0.1044339575,0.1225541914,0.11044667355095238,0.11334322487244046,42
Cladopathidae,Stylopathidae,0.21017935811666666,0.206928479,0.2158947016,0.208822900015,0.21185086814833334,12
Eidikopathidae,Leiopathidae,0.35126525556666666,0.350471864,0.3523754969,0.35096178628791663,0.35154735232895834,12
Eidikopathidae,Myriopathidae,0.1504662643642857,0.1488605136,0.1515602631,0.1502623849225,0.15069033180857141,30
Eidikopathidae,Pteridopathidae,0.12101034091666667,0.1184197508,0.1244867771,0.12047875467161456,0.1214858208586979,48
Eidikopathidae,Schizopathidae,0.22602954348809526,0.219010763,0.2359637214,0.2250701681449107,0.22709471015017849,84
Eidikopathidae,Stylopathidae,0.14784808711666667,0.1449605355,0.1527594826,0.14679045879791663,0.14886429346604166,24
Leiopathidae,Myriopathidae,0.34890761774,0.3474295544,0.349770527,0.348475510609,0.34931914495875,10
Leiopathidae,Pteridopathidae,0.31132856035,0.3087589338,0.3144671832,0.31052692226765627,0.31219835166390625,16
Leiopathidae,Schizopathidae,0.3128603545214285,0.3058625376,0.3224567191,0.31125734480982137,0.31470442339526783,28
Leiopathidae,Stylopathidae,0.34639616435,0.3435295763,0.3509697465,0.344801897325,0.348185844870625,8
Myriopathidae,Pteridopathidae,0.11865270309,0.1153774412,0.1218818072,0.11800695718037499,0.11922020865606249,40
Myriopathidae,Schizopathidae,0.22367190566142856,0.2159684533999999,0.2333587515,0.22253200273942858,0.22478779039453572,70
Myriopathidae,Stylopathidae,0.04016248528999998,0.0365902619,0.0448265486999999,0.03904126511662499,0.04130990002412497,20
Pteridopathidae,Schizopathidae,0.18609284827142855,0.1772978328,0.1980554077,0.1851406022807589,0.1870046763265625,112
Pteridopathidae,Stylopathidae,0.11614124969999999,0.1114774631,0.1230810267,0.1150314385240625,0.11724243226578122,32
Schizopathidae,Stylopathidae,0.22116045227142855,0.2120684753,0.234557971,0.21978342126875,0.2226245867978125,56
