Gress et al. 2026. Supplementary Material. Within-genus patristic distance ranges among resolved specimens.

genus,min_distance,min_pair,max_distance,max_pair,n_comparisons
Acanthopathes,0.050409,Acanthopathes_undulata_USNM99807 - Acanthopathes_humilis_USNM1484553,0.050409,Acanthopathes_undulata_USNM99807 - Acanthopathes_humilis_USNM1484553,1
Alternatipathes,0.008148,Alternatipathes_mirabilis_USNM1070972 - Alternatipathes_venusta_USNM1404492,0.06697,Alternatipathes_venusta_USNM1404492 - Alternatipathes_bipinnata_USNM1234554,3
Anozopathes,0.011017,Anozopathes_hawaiiensis_USNM1010741 - Anozopathes_palauensis_USNM1007104,0.011017,Anozopathes_hawaiiensis_USNM1010741 - Anozopathes_palauensis_USNM1007104,1
Antipathes,0.005516,Antipathes_aculeata_MTQG80032 - Antipathes_falkorae_MTQG80067,0.21774,Antipathes_simplex_MTQG80062 - Antipathes_caribbeana_USNM1122627,55
Aphanipathes,0.00838,Aphanipathes_cf_pedata_USNM1410008 - Aphanipathes_puertoricoensis_USNM1660436,0.033944,Aphanipathes_puertoricoensis_USNM1660436 - Aphanipathes_sarothamnoides_USNM1007094,3
Asteriopathes,0.005367,Asteriopathes_colini_USNM1007092 - Asteriopathes_arachniformis_MTQG80021,0.017079,Asteriopathes_arachniformis_MTQG80021 - Asteriopathes_colini_MTQG80153,4
Bathypathes,0.043034,Bathypathes_cf_patula_NIWA4295 - Bathypathes_pseudoalternata_NIWA64561,0.086256,Bathypathes_platycaulus_NIWA4288 - Bathypathes_cf_patula_NIWA4295,5
Cupressopathes,0.01366,Cupressopathes_abies_MTQG74918 - Cupressopathes_simplex_NIWA19863,0.01366,Cupressopathes_abies_MTQG74918 - Cupressopathes_simplex_NIWA19863,1
Eidikopathes,0.007063,Eidikopathes_korallispongia_RSIOANT0050 - Eidikopathes_sylospongia_RSIOANT0051,0.013277,Eidikopathes_sylospongia_USNM1467600 - Eidikopathes_zealandkorallia_NIWA180818,11
Pteridopathes,0.008807,Pteridopathes_pinnata_USNM1007089 - Pteridopathes_tanycrada_USNM1007091,0.008807,Pteridopathes_pinnata_USNM1007089 - Pteridopathes_tanycrada_USNM1007091,1
Stichopathes,0.005678,Stichopathes_flagellum_MTQG80013 - Stichopathes_maldivensis_INVM251115,0.081602,Stichopathes_sp1_MTQG74923 - Stichopathes_sp2_TMAGK4320,6
Stylopathes,0.011272,Stylopathes_columnaris_USNM1689097 - Stylopathes_americana_USNM1659395,0.016812,Stylopathes_columnaris_USNM1689097 - Stylopathes_americana_USNM1660446,2
