Gress et al. 2026. Supplementary Material. Between-genus within-family TrN distance ranges among resolved specimens.

family,genus1,genus2,min_distance,min_pair,max_distance,max_pair,n_comparisons
Antipathidae,Antipathes,Blastopathes,0.0515,Antipathes_curvata_MTQG79996 - Blastopathes_medusa_MTQ74924,0.0943,Antipathes_simplex_MTQG80062 - Blastopathes_medusa_MTQ74924,11
Antipathidae,Antipathes,Cirrhipathes,0.0184,Antipathes_grandis_MTQG80005 - Cirrhipathes_anguina_INVM110716,0.0968,Antipathes_simplex_MTQG80062 - Cirrhipathes_anguina_INVM110716,11
Antipathidae,Antipathes,Stichopathes,0.008,Antipathes_curvata_MTQG79996 - Stichopathes_sp2_TMAGK4320,0.1008,Antipathes_simplex_MTQG80062 - Stichopathes_sp1_MTQG74923,44
Antipathidae,Blastopathes,Cirrhipathes,0.0563,Blastopathes_medusa_MTQ74924 - Cirrhipathes_anguina_INVM110716,0.0563,Blastopathes_medusa_MTQ74924 - Cirrhipathes_anguina_INVM110716,1
Antipathidae,Blastopathes,Stichopathes,0.0524,Blastopathes_medusa_MTQ74924 - Stichopathes_maldivensis_INVM251115,0.0585,Blastopathes_medusa_MTQ74924 - Stichopathes_sp1_MTQG74923,4
Antipathidae,Cirrhipathes,Stichopathes,0.0192,Cirrhipathes_anguina_INVM110716 - Stichopathes_sp1_MTQG74923,0.0442,Cirrhipathes_anguina_INVM110716 - Stichopathes_sp2_TMAGK4320,4
Aphanipathidae,Acanthopathes,Anozopathes,0.032,Acanthopathes_humilis_USNM1484553 - Anozopathes_hawaiiensis_USNM1010741,0.0347,Acanthopathes_undulata_USNM99807 - Anozopathes_palauensis_USNM1007104,4
Aphanipathidae,Acanthopathes,Aphanipathes,0.0301,Acanthopathes_humilis_USNM1484553 - Aphanipathes_cf_pedata_USNM1410008,0.0347,Acanthopathes_undulata_USNM99807 - Aphanipathes_puertoricoensis_USNM1660436,6
Aphanipathidae,Acanthopathes,Aphanostichopathes,0.0315,Acanthopathes_humilis_USNM1484553 - Aphanostichopathes_dissimilis_USNM1606539,0.0345,Acanthopathes_undulata_USNM99807 - Aphanostichopathes_dissimilis_USNM1606539,2
Aphanipathidae,Anozopathes,Aphanipathes,0.0284,Anozopathes_hawaiiensis_USNM1010741 - Aphanipathes_cf_pedata_USNM1410008,0.0314,Anozopathes_palauensis_USNM1007104 - Aphanipathes_puertoricoensis_USNM1660436,6
Aphanipathidae,Anozopathes,Aphanostichopathes,0.0105,Anozopathes_palauensis_USNM1007104 - Aphanostichopathes_dissimilis_USNM1606539,0.011,Anozopathes_hawaiiensis_USNM1010741 - Aphanostichopathes_dissimilis_USNM1606539,2
