Gress et al. 2026. Supplementary Material. Specimen-level Tamura-Nei distance variance matrix.

,Acanthopathes_humilis_USNM1484553,Acanthopathes_undulata_USNM99807,Allopathes_desbonni_USNM88327,Allopathes_sp_USNM1689376,Alternatipathes_bipinnata_USNM1234554,Alternatipathes_mirabilis_USNM1070972,Alternatipathes_venusta_USNM1404492,Anozopathes_hawaiiensis_USNM1010741,Anozopathes_palauensis_USNM1007104,Antipathes_aculeata_MTQG80032,Antipathes_arborea_MTQ77188,Antipathes_caribbeana_USNM1122627,Antipathes_curvata_MTQG79996,Antipathes_delicatula_MTQG77186,Antipathes_dendrochristos_USNM1467666,Antipathes_dichotoma_NMNH1280884,Antipathes_dichotoma_UGSARD13,Antipathes_falkorae_MTQG80067,Antipathes_flabellum_INVM110519,Antipathes_fruticosa_MTQG80070,Antipathes_grandis_MTQG80005,Antipathes_leptocrada_MTQG80066,Antipathes_simplex_MTQG80062,Aphanipathes_cf_pedata_USNM1410008,Aphanipathes_puertoricoensis_USNM1660436,Aphanipathes_sarothamnoides_USNM1007094,Aphanipathes_verticillata_MTQG80075,Aphanostichopathes_dissimilis_USNM1606539,Asteriopathes_arachniformis_MTQG80021,Asteriopathes_arachniformis_USNM1007096,Asteriopathes_colini_MTQG80153,Asteriopathes_colini_USNM1007092,Bathypathes_cf_patula_NIWA4295,Bathypathes_platycaulus_NIWA4288,Bathypathes_pseudoalternata_MTQG80040,Bathypathes_pseudoalternata_NIWA64561,Blastopathes_medusa_MTQ74924,Cirrhipathes_anguina_INVM110716,Cupressopathes_abies_MTQG74918,Cupressopathes_simplex_NIWA19863,Cupressopathes_sp_MTQG74917,Dendropathes_sp_CAS223580,Diplopathes_antartica_NIWA38070,Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_sylospongia_USNM1467600,Eidikopathes_zealandkorallia_NIWA180818,Elatopathes_abietina_USNM1676346,Elatopathes_abietina_USNM1695054,Heteropathes_americana_USNM1483032,Hexapathes_bikofskii_MTQG80122,Leiopathes_annosa_USNM1071405,Leiopathes_sp_USNM1606568,Lillipathes_lilliei_CAS179055,Pteridopathes_pinnata_USNM1007089,Pteridopathes_tanycrada_USNM1007091,Rhipidipathes_helae_MTQG80117,Schizopathes_crassa_USNM78796,Stauropathes_staurocrada_USNM1071042,Stichopathes_flagellum_MTQG80013,Stichopathes_maldivensis_INVM251115,Stichopathes_sp1_MTQG74923,Stichopathes_sp2_TMAGK4320,Stichopathes_sp_USNM1695049,Stylopathes_americana_USNM1659395,Stylopathes_americana_USNM1660446,Stylopathes_columnaris_USNM1689097,Stylopathes_sp1_MTQG74916,Stylopathes_sp2_MTQG80174,Stylopathes_sp3_MTQG80044,Stylopathes_sp_USNM1689139,Tanacetipathes_cf_hirta_USNM1695043,Tanacetipathes_cf_tanacetum_USNM1695042,Telopathes_magna_USNM1204049,Trissopathes_pseudotristicha_USNM1689265,Umbellapathes_sp_CAS223581
Acanthopathes_humilis_USNM1484553,,0.000283715253926,0.0005638788685389,0.0009742765889308,0.0016508257839821,0.0010084868931215,0.0010268870827754,0.0001901074534676,0.0002855342226209,0.0014673616458046,0.0021747131008747,0.0013740331129439,0.0009232141531711,0.0016483503083867,0.0010660933136183,0.0001625680470134,0.0005187653119464,0.0011869636290606,0.0013134914066957,0.0011909043159016,0.0013469124215126,0.0019357238640663,0.0014968564734303,0.0001540661021367,0.0001896571721372,0.0001651901218382,0.0008631549978329,0.0001635766126159,0.0004879414106366,0.0004216016450663,0.000415825659232,0.000391018524421,0.0011939143708225,0.0009584117276706,0.0010734670149368,0.0010585513996158,0.0009896962997553,0.0012456907228425,0.0006805310548744,0.0005584726637956,0.0005916665624747,0.0009016825295248,0.0008604452703928,0.000622558741341,0.000587526877236,0.0005617725936951,0.0006552856645432,0.0005874362311096,0.0006502604324096,0.0004643505350737,0.0004543220799685,0.0009479324803652,0.0009494958340018,0.0016850601166045,0.0016595837254824,0.0009493272185989,0.0004422824799963,0.0011541483870779,0.0009669378354396,0.0014580480614111,0.0010940425876902,0.0012204726736371,0.0010433108096442,0.0013755131241395,0.0010843458736423,0.0010921469855826,0.0005956044063833,0.0006796036255003,0.0005928344759076,0.0005537616201186,0.0010574230917512,0.0006107264073926,0.0005894677328889,0.000595477861026,0.0005629387853009,0.0011710430805914,0.0010924262848947,0.0008410508762981
Acanthopathes_undulata_USNM99807,0.000283715253926,,0.0006934890331858,0.0012206449077992,0.0015391332464967,0.0010137904317188,0.0011898691775644,0.0002087656246977,0.0005152278689403,0.0016914077883456,0.002315257011345,0.001767595376271,0.0011990710879035,0.0017771423527171,0.0011646187423967,0.0002935180665383,0.0008518066256714,0.0014278173494711,0.0014174642763398,0.0013170245608973,0.0012650847401076,0.0022480040113579,0.0016540468329705,0.0002156249962115,0.0003668729851821,0.0003107547814756,0.0009371197058144,0.0003664404676487,0.0005125410421959,0.0005753063559473,0.000584890843215,0.0004654421424058,0.0012321424514037,0.0011963988792981,0.0012622557413354,0.0010246008521039,0.0011067004373683,0.0014670132922835,0.0009473724003469,0.000762305195093,0.0005944947951979,0.000931338510215,0.0010816660719836,0.0008533062884975,0.0008418378011443,0.0008096489641384,0.0007623003155494,0.0008268818625079,0.0008733137963946,0.00045603157381,0.0005894837347254,0.0011360270520381,0.0011908147319891,0.0020220726248936,0.001855022554058,0.0011186841758902,0.0006193249014005,0.0009341827116171,0.0010836240480171,0.0016513538663932,0.0012928407483294,0.0011633914372778,0.0013968845274851,0.0019029475954254,0.0011766809774182,0.0012450984793856,0.0008656548957108,0.0014618986168937,0.0006674364518293,0.0007702299130149,0.000798103207432,0.0009320510847047,0.0007982118237095,0.0006301097610768,0.0007528651066056,0.0011539119211647,0.0011172915978371,0.0010651426722934
Allopathes_desbonni_USNM88327,0.0005638788685389,0.0006934890331858,,0.0006431429136094,0.0015453267740632,0.0011845088334801,0.0012237358932361,0.0009916115067856,0.0005476724002549,0.0014862818471561,0.0015596366392881,0.0012139002251558,0.0009743171267181,0.0016637654526443,0.0010677362488607,0.0005311546063079,0.0008519535280634,0.0012182423655841,0.0013959602425487,0.0011505638264061,0.0012146804666534,0.0013715654470605,0.0015305038631189,0.0005204206363737,0.0006145076339403,0.0004981480568765,0.0002859732772288,0.000556231401367,0.000746315641442,0.0007178373428091,0.0006757983589532,0.0006514710483629,0.0013247145625151,0.0011261969686635,0.0013068104472353,0.0011819695270147,0.0009766887105881,0.0012957039776724,0.000946521660322,0.000794864369106,0.0007762468280157,0.0009940663255765,0.001084137165878,0.0008528342116735,0.0008398242042831,0.000840192819742,0.0009447511328116,0.000886076202167,0.0008798356995913,0.000624116032186,0.000672359873197,0.0011923812614956,0.0011414076061441,0.0018963746599245,0.0017413491326329,0.0012254438362913,0.0006547043193648,0.0013203908954253,0.0009231694760985,0.0014666658117476,0.00132601278169,0.0010918505350326,0.0009612933152585,0.0012476020244347,0.0011319369185991,0.0011810825184455,0.0007881468185338,0.0004744320612335,0.0007998593191398,0.0007197622560737,0.0008778367058401,0.0009472224986067,0.0007623869709591,0.0008376648982713,0.0007703159274609,0.00124332079225,0.0012519975516489,0.0011248047746822
Allopathes_sp_USNM1689376,0.0009742765889308,0.0012206449077992,0.0006431429136094,,0.0022024051400547,0.0015537435935397,0.0015861149916243,0.0011903820456422,0.0010275411293858,0.0018371907925988,0.0027178633748091,0.00126999568551,0.0013081079438132,0.0021492208024386,0.0017923979032411,0.0005787280737959,0.001301651862207,0.00186684454489,0.0018551619366836,0.0016233240096121,0.0017308776637794,0.0025132471823155,0.0017053511159224,0.0010388892847345,0.001476887476151,0.0005554092363653,0.0009869528914813,0.0011185932743312,0.0013685422231345,0.0009234056616062,0.001220503484467,0.0010883262513336,0.0015581227874497,0.0016765125473989,0.0017331094074877,0.0017584959068873,0.0014775127709263,0.0019214782331863,0.0014277336787001,0.0012374981613375,0.0012831128081085,0.0013417649972924,0.0014968989920135,0.0012240041724333,0.0012559758828511,0.0011063320052078,0.0012349175834369,0.0012465403493452,0.0012218112434071,0.0007957767346383,0.0011305720192852,0.0015813446365486,0.0015341871469648,0.0022704978558071,0.0021074193187825,0.001587234604082,0.0007788890699484,0.0008763251147356,0.0012936446611363,0.002021544556112,0.0017658329487785,0.005444477218078,0.0015490633839961,0.0016498989190829,0.0014683330564976,0.0011777465206405,0.0013633306076839,0.0032511083545556,0.0008726832957568,0.0012058346388723,0.0018613866915501,0.0014544220402909,0.0012351344296943,0.0012523226921466,0.0012048855562658,0.0017380431340366,0.001319267138312,0.0015298076346972
Alternatipathes_bipinnata_USNM1234554,0.0016508257839821,0.0015391332464967,0.0015453267740632,0.0022024051400547,,0.0015442989096272,0.0018898280851352,0.0024862377038132,0.0015494013177595,0.0027108613799538,0.0034975047088148,0.0022335659798355,0.0018655641580631,0.0027408664080536,0.0022976632980558,0.0017375366261185,0.001280505325191,0.0021725358790368,0.0024437934820933,0.0021328406732074,0.0021139889370643,0.0034616588976912,0.0024992287835647,0.0017612007619641,0.0021957157687813,0.0015267106266682,0.0017876200963575,0.0017350492388272,0.0015424884546567,0.0017863143833487,0.0016901864707045,0.001750110177888,0.0020302475406472,0.0017666667788492,0.0015857800527829,0.0021277254145525,0.0018001770654552,0.0019970528669458,0.0014835958956435,0.0015728066525258,0.0016329874026692,0.0014203409338952,0.0019097839923637,0.00172680143679,0.0015852578081649,0.0015873778406094,0.0018007072246994,0.0016033354839522,0.0017174417820342,0.0012534222765077,0.0015455603937895,0.0017293055900351,0.0014425126568872,0.0020677763083671,0.0021578312288571,0.001823363955187,0.0017622074956887,0.0016147851235577,0.001846998359223,0.0014980931111268,0.0019251164801468,0.0023990145417672,0.0022074842061666,0.0021380534553204,0.0018539263933659,0.0021989354269974,0.0015947732091241,0.0011099508982954,0.0015061676827251,0.0015490846379786,0.0027484374655502,0.0016778155993864,0.0017281409707509,0.0017025423856743,0.0015741946595261,0.0017687199433341,0.0008801304174733,0.0015986561426937
Alternatipathes_mirabilis_USNM1070972,0.0010084868931215,0.0010137904317188,0.0011845088334801,0.0015537435935397,0.0015442989096272,,0.0001273519934399,0.0014867621389914,0.0009380954496493,0.0024180127428307,0.0031166376895659,0.002082409651392,0.001474139674365,0.0024798806971689,0.001497950670174,0.0010831919795191,0.0016191215295487,0.0019485475306771,0.0020391186162083,0.0016699034414586,0.0017900707289298,0.002966293686357,0.0022346003712636,0.0010057141858801,0.0014671574931978,0.0009364153309801,0.0014578216180665,0.0009526678227575,0.0009314815878944,0.0008989397018164,0.0008438872097511,0.0008562734426276,0.000874589545926,0.000332923077758,0.0002906204922561,0.000680910314358,0.0016032998623084,0.0019617781489386,0.0009439565571734,0.0010018262993975,0.0009439600033555,0.0002224603834809,0.0002726043596579,0.0010274867629255,0.0009802055169253,0.000982008349183,0.0011448465476322,0.0010105891099772,0.001087580972138,0.0007644112452282,0.0007845211795218,0.0005707176068851,0.0005345009015948,0.0017778196394126,0.0016496935833597,0.0008415632232401,0.0008645489627065,0.0009551761231448,0.001402971020002,0.0012308015749373,0.0005531965364995,0.0021594928718835,0.0018280886691109,0.0021697997814042,0.0015971366915213,0.001708794703993,0.001098919801483,0.0017125441282229,0.0010256751549231,0.0009233338272042,0.0012069388123397,0.0013461603858125,0.0010006423102342,0.0009934033229859,0.0009864987576976,0.0006464589023862,0.0005398615315975,0.0003758940211593
Alternatipathes_venusta_USNM1404492,0.0010268870827754,0.0011898691775644,0.0012237358932361,0.0015861149916243,0.0018898280851352,0.0001273519934399,,0.0014761417164596,0.0010260188395874,0.0023369489071273,0.0021576033789494,0.0022411401515056,0.0016577089585472,0.002309251088163,0.0016423918637199,0.0011814454704426,0.0017253914018446,0.001978732100572,0.002121889599987,0.0018177544887483,0.0020861564948487,0.0022285578851924,0.002209955569318,0.0011213257569351,0.0015170320522639,0.0010862152460433,0.0014317985757812,0.0010621169268235,0.0009722167568974,0.0009285683496355,0.0009017684850641,0.0009622375356578,0.0008256668719673,0.0003496117599936,0.0003564730509877,0.0007907722503231,0.0016611104946933,0.0019889284188387,0.0011788267356239,0.0011093212432757,0.0010632547367889,0.0002582104190574,0.0003154469539928,0.0011439246776953,0.0010254491713449,0.0010377615830746,0.0011774994907709,0.0010290450188536,0.0010721246635486,0.0008816873427771,0.0008942872279615,0.0005922753837039,0.0005605656521561,0.0017389545265246,0.0015910110005627,0.0007172764785275,0.0008939239442425,0.0016199923276323,0.0014483013730549,0.0010438671971086,0.0006292360228696,0.0022212454554254,0.0019510317184868,0.0020294417290644,0.0018326507042577,0.0018064421464392,0.0011290645092345,0.0014145665122603,0.0011044657671264,0.0010510692161829,0.001198234211134,0.0010932962427873,0.001124788250313,0.0011101961430979,0.0010894781051629,0.0006505229421867,0.0006228841149059,0.0004088929976597
Anozopathes_hawaiiensis_USNM1010741,0.0001901074534676,0.0002087656246977,0.0009916115067856,0.0011903820456422,0.0024862377038132,0.0014867621389914,0.0014761417164596,,0.0008841624640157,0.0020631805025208,0.0027877907219343,0.0018025209710895,0.0014180682958452,0.00149220169504,0.001109759183559,0.001078835003449,0.001154666325345,0.0016318880186901,0.0019894286087852,0.0016591393132724,0.0018025561316499,0.002436894708531,0.0013471464534967,0.0001387399211473,0.0001939388013411,0.0006675532973924,0.0011966716398528,0.0007009181360963,0.0004729124825314,0.0014731660774021,0.0008922138114373,0.0009028459235384,0.0014308884017526,0.0013565457575338,0.0013705607194361,0.0012132572625598,0.001571350706583,0.0019172164919536,0.0012342238181911,0.000566807355504,0.0006145566852274,0.0012915800243118,0.0008509213166539,0.0010831700279109,0.0010688176708687,0.0010057430564621,0.001104550372738,0.0012426678741965,0.0010992842373837,0.0012230260369777,0.0009259303185104,0.0014110675172978,0.0013293688104729,0.0017680726426807,0.0018825986741553,0.0013449634238137,0.0009078127049281,0.0014636008725594,0.0013229620347462,0.0020005836533164,0.0018000542792903,0.0016239048154436,0.0014068662656231,0.0023828479757745,0.0015534068308529,0.0016216418149117,0.0006341426902609,0.000677041460732,0.0009172581860343,0.0010150925385764,0.0012929766927612,0.0010783519931651,0.0005918005801841,0.0006188926228073,0.0006044337804361,0.0015099025554158,0.0011607435381564,0.0013624786705714
Anozopathes_palauensis_USNM1007104,0.0002855342226209,0.0005152278689403,0.0005476724002549,0.0010275411293858,0.0015494013177595,0.0009380954496493,0.0010260188395874,0.0008841624640157,,0.0013240598173691,0.0013771041650118,0.0011252843997397,0.0009361141403029,0.0016076912865626,0.0012379613294831,5.144162823962085e-05,0.000559271625502,0.0011406336104528,0.0013322384893096,0.0010948613300597,0.0011597872737872,0.0012943107058176,0.0014629438257904,0.0001139462446203,0.0009697172614876,0.0003038303925772,0.0007522981638415,0.0001963247215947,0.0005265444488171,0.0004855648388366,0.0004644624516904,0.0004352342551026,0.0011931013757193,0.0009780309252613,0.0011079003580361,0.0011766129208914,0.0009102958385841,0.0013540927285068,0.0008355459401764,0.0006251947139681,0.0006126443526167,0.000876609682182,0.001013633009023,0.0006749957837008,0.0006770220182003,0.0006304761714944,0.0006235019993028,0.0006441802577261,0.0006605319225147,0.0005404737865562,0.000516569345154,0.0009604015613007,0.0009837887096404,0.0015907052977591,0.0015225163616228,0.0011230033091282,0.0005006401224333,0.0013180191261668,0.0009461463578401,0.0016607143569351,0.0011843758026085,0.0012116893279667,0.0009663841838505,0.0013744439629308,0.0010338299933453,0.0011490365812378,0.0007969034118205,0.0013065003580641,0.0006012404897516,0.0006694471740912,0.0008846527690151,0.001008627990666,0.0007044952588274,0.0005757133376403,0.0005955366580787,0.0010896046142026,0.0008875068395859,0.0009730672187532
Antipathes_aculeata_MTQG80032,0.0014673616458046,0.0016914077883456,0.0014862818471561,0.0018371907925988,0.0027108613799538,0.0024180127428307,0.0023369489071273,0.0020631805025208,0.0013240598173691,,0.0001560971896778,0.0017412023788595,0.0009457524225227,0.0001847240249145,0.0023222416365953,0.001707489254384,0.00212246879453,6.262030443046905e-05,0.0002863548961673,0.0010969430573983,0.0011735458415094,0.0001206796177661,0.000449595714507,0.0015561702779569,0.0020886310626888,0.0016102208808794,0.0018282721427437,0.0017345688868514,0.0017715621438419,0.0018958729216205,0.0016750110470171,0.0015874619411523,0.0021098012260043,0.0021865534895383,0.0023411548771811,0.0021243891741602,0.0010071816047787,0.0013218613539058,0.0018706136391992,0.0018135487117161,0.0016806637316817,0.0019779177451971,0.0021145024768408,0.0018643578047981,0.0018032734726545,0.0018016847412073,0.0020876928695458,0.0017156261280744,0.0019007468953409,0.0016105723610373,0.0017387275588167,0.0020481128712496,0.0019432572874978,0.0031449115259508,0.0028575374763898,0.0021389601613099,0.0016716028459533,0.0024021253539225,0.0009040160212716,0.0026403505069221,0.0019286781878577,0.0011280355838602,0.0010936070658744,0.001169135203946,0.0009721654919092,0.001124491606608,0.0015477212663144,0.0010373882974948,0.0016197236271794,0.0016865558005792,0.0020752144501661,0.0017851668727031,0.0017854154088685,0.0017844210102935,0.0017547416379097,0.0022413951027001,0.002440982034819,0.0019934811514237
