Gress et al. 2026. Supplementary Material. Within-genus TrN distance ranges among resolved specimens.

genus,min_distance,min_pair,max_distance,max_pair,n_comparisons
Acanthopathes,0.0302,Acanthopathes_humilis_USNM1484553 - Acanthopathes_undulata_USNM99807,0.0302,Acanthopathes_humilis_USNM1484553 - Acanthopathes_undulata_USNM99807,1
Alternatipathes,0.0055,Alternatipathes_mirabilis_USNM1070972 - Alternatipathes_venusta_USNM1404492,0.0396,Alternatipathes_bipinnata_USNM1234554 - Alternatipathes_venusta_USNM1404492,3
Anozopathes,0.0075,Anozopathes_hawaiiensis_USNM1010741 - Anozopathes_palauensis_USNM1007104,0.0075,Anozopathes_hawaiiensis_USNM1010741 - Anozopathes_palauensis_USNM1007104,1
Antipathes,0.0034,Antipathes_aculeata_MTQG80032 - Antipathes_falkorae_MTQG80067,0.0997,Antipathes_grandis_MTQG80005 - Antipathes_simplex_MTQG80062,55
Aphanipathes,0.0055,Aphanipathes_cf_pedata_USNM1410008 - Aphanipathes_puertoricoensis_USNM1660436,0.0204,Aphanipathes_puertoricoensis_USNM1660436 - Aphanipathes_sarothamnoides_USNM1007094,3
Asteriopathes,0.0035,Asteriopathes_arachniformis_MTQG80021 - Asteriopathes_colini_USNM1007092,0.0101,Asteriopathes_arachniformis_USNM1007096 - Asteriopathes_colini_MTQG80153,4
Bathypathes,0.0257,Bathypathes_cf_patula_NIWA4295 - Bathypathes_pseudoalternata_MTQG80040,0.0508,Bathypathes_cf_patula_NIWA4295 - Bathypathes_platycaulus_NIWA4288,5
Cupressopathes,0.0078,Cupressopathes_abies_MTQG74918 - Cupressopathes_simplex_NIWA19863,0.0078,Cupressopathes_abies_MTQG74918 - Cupressopathes_simplex_NIWA19863,1
Eidikopathes,0.0038,Eidikopathes_korallispongia_RSIOANT0050 - Eidikopathes_sylospongia_RSIOANT0049,0.0082,Eidikopathes_korallispongia_RSIOANT0048 - Eidikopathes_zealandkorallia_NIWA180818,11
Pteridopathes,0.0054,Pteridopathes_pinnata_USNM1007089 - Pteridopathes_tanycrada_USNM1007091,0.0054,Pteridopathes_pinnata_USNM1007089 - Pteridopathes_tanycrada_USNM1007091,1
Stichopathes,0.0032,Stichopathes_flagellum_MTQG80013 - Stichopathes_maldivensis_INVM251115,0.0443,Stichopathes_sp1_MTQG74923 - Stichopathes_sp2_TMAGK4320,6
Stylopathes,0.0072,Stylopathes_americana_USNM1659395 - Stylopathes_columnaris_USNM1689097,0.0094,Stylopathes_americana_USNM1660446 - Stylopathes_columnaris_USNM1689097,2
