Gress et al. 2026. Supplementary Material. Specimen-level upper bootstrap confidence interval matrix for Tamura-Nei distances.

,Acanthopathes_humilis_USNM1484553,Acanthopathes_undulata_USNM99807,Allopathes_desbonni_USNM88327,Allopathes_sp_USNM1689376,Alternatipathes_bipinnata_USNM1234554,Alternatipathes_mirabilis_USNM1070972,Alternatipathes_venusta_USNM1404492,Anozopathes_hawaiiensis_USNM1010741,Anozopathes_palauensis_USNM1007104,Antipathes_aculeata_MTQG80032,Antipathes_arborea_MTQ77188,Antipathes_caribbeana_USNM1122627,Antipathes_curvata_MTQG79996,Antipathes_delicatula_MTQG77186,Antipathes_dendrochristos_USNM1467666,Antipathes_dichotoma_NMNH1280884,Antipathes_dichotoma_UGSARD13,Antipathes_falkorae_MTQG80067,Antipathes_flabellum_INVM110519,Antipathes_fruticosa_MTQG80070,Antipathes_grandis_MTQG80005,Antipathes_leptocrada_MTQG80066,Antipathes_simplex_MTQG80062,Aphanipathes_cf_pedata_USNM1410008,Aphanipathes_puertoricoensis_USNM1660436,Aphanipathes_sarothamnoides_USNM1007094,Aphanipathes_verticillata_MTQG80075,Aphanostichopathes_dissimilis_USNM1606539,Asteriopathes_arachniformis_MTQG80021,Asteriopathes_arachniformis_USNM1007096,Asteriopathes_colini_MTQG80153,Asteriopathes_colini_USNM1007092,Bathypathes_cf_patula_NIWA4295,Bathypathes_platycaulus_NIWA4288,Bathypathes_pseudoalternata_MTQG80040,Bathypathes_pseudoalternata_NIWA64561,Blastopathes_medusa_MTQ74924,Cirrhipathes_anguina_INVM110716,Cupressopathes_abies_MTQG74918,Cupressopathes_simplex_NIWA19863,Cupressopathes_sp_MTQG74917,Dendropathes_sp_CAS223580,Diplopathes_antartica_NIWA38070,Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_sylospongia_USNM1467600,Eidikopathes_zealandkorallia_NIWA180818,Elatopathes_abietina_USNM1676346,Elatopathes_abietina_USNM1695054,Heteropathes_americana_USNM1483032,Hexapathes_bikofskii_MTQG80122,Leiopathes_annosa_USNM1071405,Leiopathes_sp_USNM1606568,Lillipathes_lilliei_CAS179055,Pteridopathes_pinnata_USNM1007089,Pteridopathes_tanycrada_USNM1007091,Rhipidipathes_helae_MTQG80117,Schizopathes_crassa_USNM78796,Stauropathes_staurocrada_USNM1071042,Stichopathes_flagellum_MTQG80013,Stichopathes_maldivensis_INVM251115,Stichopathes_sp1_MTQG74923,Stichopathes_sp2_TMAGK4320,Stichopathes_sp_USNM1695049,Stylopathes_americana_USNM1659395,Stylopathes_americana_USNM1660446,Stylopathes_columnaris_USNM1689097,Stylopathes_sp1_MTQG74916,Stylopathes_sp2_MTQG80174,Stylopathes_sp3_MTQG80044,Stylopathes_sp_USNM1689139,Tanacetipathes_cf_hirta_USNM1695043,Tanacetipathes_cf_tanacetum_USNM1695042,Telopathes_magna_USNM1204049,Trissopathes_pseudotristicha_USNM1689265,Umbellapathes_sp_CAS223581
Acanthopathes_humilis_USNM1484553,,0.0315900644720502,0.0644237223464829,0.0690291433106036,0.1035528822272005,0.093343961082061,0.0951295398262559,0.0326647049855219,0.0336947154901343,0.1303306114629469,0.1344374788188092,0.1110357370566027,0.1069030337142031,0.1329538555988175,0.0758868004098129,0.0303709305382022,0.0363183487389147,0.1310371181935824,0.1281597902839529,0.110390228939313,0.1104765096606145,0.1306052665338361,0.1322775684300902,0.0305564630787863,0.0320091339773521,0.0311929455600416,0.0673318898230038,0.0317299596415725,0.0601065778791999,0.0623754934029127,0.0601367945179314,0.0597956508343201,0.0975607839739686,0.1012543821465823,0.0974655181996175,0.0953981010073767,0.1041706951892094,0.1078050502188636,0.0745249268326921,0.0735710294392322,0.0750212910849112,0.095013153481969,0.0964671241182963,0.0761154928472622,0.0757284449828273,0.0753004214947541,0.0760402238820829,0.0752090889816005,0.0782490435946559,0.0623346595974582,0.0624111203362501,0.0934849566199991,0.0941469927613595,0.137564424850016,0.1389346433311724,0.0985418621752741,0.060496288570832,0.0626241169765012,0.102724324874182,0.095049555822595,0.0966460269261783,0.109624425423618,0.1066676934196149,0.1110676029952196,0.1076032604110481,0.1098093009520449,0.0719711973452393,0.0825101392319734,0.072906941555255,0.0722575632277071,0.0757622002426162,0.0714261381100352,0.072088255448148,0.0749941935225425,0.073517354764953,0.098002010460252,0.0919060266920113,0.0950532376471827
Acanthopathes_undulata_USNM99807,0.0315900644720502,,0.0670868635569753,0.071071281963346,0.1049434015147388,0.0971121052732863,0.098562442761728,0.0353311931342319,0.0375378841171814,0.132462360588507,0.1349653004957665,0.1131329851722305,0.1085440427026395,0.1339610345673831,0.0800546471771862,0.0368148031965348,0.0424788856211964,0.1310792959250946,0.128433832522573,0.1103475274962244,0.1102205357282023,0.1325288708582178,0.1309226795510608,0.0341499726851088,0.0378117327556105,0.0352299264342841,0.0691875084450586,0.0364044362590481,0.0624380218193842,0.0650532017574396,0.0629305100915399,0.0618365339818575,0.1003794403077858,0.1042719987395857,0.100499542222984,0.0986618050059972,0.1047393663337925,0.1109551034514038,0.0770921733416043,0.0764983161114121,0.0760901368371443,0.0972174624838436,0.1008794884051132,0.0787278605659529,0.0780577642756018,0.0779688603396142,0.0786465070536631,0.0785930268659054,0.0803743801074887,0.0629822205395797,0.0648599029263231,0.0957976247887343,0.097278840512435,0.1391663829913129,0.1403921852616723,0.1026526848712204,0.063614628098039,0.0634606766901236,0.1048698370794967,0.0978379984208653,0.0994127508235687,0.1081916267823033,0.1083577592463738,0.1134191664475602,0.1076831563709964,0.1107007834388156,0.0763574642026174,0.095003651302593,0.075253021857147,0.0755332348983239,0.0742918686359632,0.0759960031851592,0.0752898418730702,0.0777704734068848,0.0770634780865549,0.0997408009290176,0.0940702773794684,0.0972886869032524
Allopathes_desbonni_USNM88327,0.0644237223464829,0.0670868635569753,,0.0092348248565027,0.1080613806603225,0.100580585119813,0.1032850246151286,0.064988307702935,0.063656868571255,0.122219987109837,0.123538857237573,0.1006483111173656,0.0987649681708409,0.1251739672704266,0.0847975464440501,0.0638780045979172,0.0654340621549284,0.1214817219276837,0.1209793957242392,0.1010013261210545,0.1012523629178965,0.1220300776483031,0.1255989807594027,0.0616279958097115,0.0649000759600355,0.0632678205805061,0.0154224376694066,0.0624106001866444,0.0705562572156339,0.0725401470816133,0.0705971787737861,0.0699770778496414,0.1067668616983347,0.1078865288433193,0.1045533373615706,0.1035190251537789,0.0943163131709173,0.101038598790562,0.0833911700713499,0.0830590318874499,0.0839351998929537,0.1035505148677355,0.1054884921541363,0.0848169726252724,0.0842249073982146,0.084718529216342,0.0863065995606357,0.0847024481387109,0.0862971972751802,0.0732833285149242,0.0723033189806346,0.1019764171249243,0.1024193923014251,0.1414614802493872,0.1416091476333268,0.1090496727481286,0.0707794849956406,0.0754159795497941,0.092906946394634,0.1037224286549054,0.1058626102869363,0.1002376392908406,0.0985721460074387,0.1012826926979266,0.0987218135989074,0.1009257499129007,0.0817080341661412,0.0760803458110206,0.0828824459334143,0.0808598907202367,0.0805155402420092,0.0818084750893353,0.0817870245668727,0.0840948266824813,0.0821537354969711,0.1046381004506483,0.1011730491517381,0.1025807677811262
Allopathes_sp_USNM1689376,0.0690291433106036,0.071071281963346,0.0092348248565027,,0.1136514848475391,0.1051901199778071,0.1063429918292518,0.0675055893964779,0.0684696922455895,0.1272778980964375,0.1300092568258564,0.1016925196150136,0.0988710818268099,0.1300253577708939,0.0905068474405601,0.0646624811053045,0.0702963417626517,0.1273631378758615,0.1251251537549981,0.1044617642710785,0.1029965343756232,0.1283713503354324,0.1276514578395882,0.0667965931322536,0.0711621813666847,0.0638556438951932,0.0193839611048483,0.0670083135091914,0.0752877218702401,0.0752335146557877,0.0748952061697395,0.0734553806712675,0.1088062522166863,0.1130325887045257,0.1082101857904203,0.1099425295712608,0.0974821765511679,0.1035944686140821,0.0850663694632312,0.0857775804082972,0.085911462798494,0.106586771381628,0.1113177050644598,0.0881341238031706,0.0887060219473594,0.0866734175312236,0.0882435281989049,0.0875382260098407,0.0919926973686256,0.0727617378366252,0.0745460335471532,0.106746892494544,0.1048890694930839,0.1445942343610222,0.1453184920665841,0.1128148193774305,0.0744285022440448,0.0718223493461231,0.0954976895834365,0.1070857153112799,0.1092536072392608,0.1132507107712088,0.1000183820213234,0.1021543037799341,0.1002620446527165,0.1023106331091907,0.0849822571461853,0.1189758991386098,0.0834292638649099,0.0851310854672059,0.0903455262207541,0.0859007475305479,0.084433110771017,0.0871717537729025,0.084899503184344,0.1085577909399626,0.1010024443356403,0.1056452088722839
Alternatipathes_bipinnata_USNM1234554,0.1035528822272005,0.1049434015147388,0.1080613806603225,0.1136514848475391,,0.0423797483250052,0.0447963421977385,0.1045585836014769,0.1031215707183518,0.1614996464351524,0.1632961537923178,0.1451348658332426,0.1401424968222752,0.1625262126085762,0.1079657222427906,0.1006738651596316,0.097602664695491,0.1603895054470096,0.1568276382229507,0.143877065602742,0.142912010151833,0.1611349131407374,0.1612337612279462,0.1055393211128613,0.1052954919662142,0.0992222183054966,0.1117860210073439,0.1014173213636378,0.0936245936764508,0.0988682843504781,0.0926574085149048,0.0959890295905452,0.0544387709108454,0.0437091440800462,0.0512462215411899,0.0572846291623813,0.1394306331578461,0.1399925777630398,0.1029876457943022,0.103897093285846,0.1056540238182734,0.0324724134123829,0.0505208956581674,0.1059065032227482,0.1051051680259652,0.106365771935286,0.1083971529792437,0.1058284028641817,0.1091671081008117,0.0918268688027666,0.0930166934396461,0.0695426345497855,0.0693167505278309,0.1374304809205227,0.1400399545631067,0.0505179054348917,0.0971714178831486,0.0926244735169235,0.1366518657381157,0.042237478924435,0.0546794580904286,0.1437698384533963,0.1436820044161839,0.1431135549313648,0.1395290638829253,0.1463286959313325,0.1030475200196949,0.1087646632566144,0.1023798555617004,0.1043832065353876,0.1082273810216363,0.1013573149021938,0.1045533925915268,0.1075821076106818,0.104622414510638,0.0544485019263112,0.0620613348518055,0.0185567803328159
Alternatipathes_mirabilis_USNM1070972,0.093343961082061,0.0971121052732863,0.100580585119813,0.1051901199778071,0.0423797483250052,,0.0065440723899726,0.09428422795389,0.0929531541613638,0.1580600365492644,0.1568451283089746,0.1386230305318118,0.1344415185774254,0.1573699157649474,0.098943701969314,0.0936242734476044,0.0981905797076714,0.1568780910302552,0.1519218590531432,0.138589030149227,0.1386397400727585,0.1571465565596746,0.1557543672398987,0.09532300624354,0.0967918243877738,0.0914736105068722,0.1049949661774496,0.0931135438467385,0.0858929778449844,0.0864429920034921,0.0832704828700781,0.084622618666541,0.0452466426887556,0.0416234863260585,0.0406706260986083,0.0429368462265898,0.1339130011021029,0.1370158285590197,0.0968213438025335,0.0972981405248135,0.0978805897183496,0.0312254184847688,0.0315048501656999,0.09891966049093,0.0980095673241648,0.0987718090460562,0.1011234573619729,0.0988263067105945,0.1025960408672099,0.0856193345651092,0.0860145837631,0.059259945064417,0.0593967593851077,0.1319157173425749,0.1328445830294923,0.035948914810213,0.0855270657567857,0.0823852840184241,0.1308570977494032,0.0184128276525065,0.043195217205866,0.1399762963484076,0.1361400983130844,0.1412559784698008,0.1370399036856003,0.1394235484318914,0.0956159551483553,0.1187756448219408,0.0970251508277911,0.0959848081089896,0.0957474418937044,0.0964882396529623,0.0962434607447804,0.0983772392799818,0.097160259260207,0.0464454324379997,0.0586767601488867,0.0322969742930404
Alternatipathes_venusta_USNM1404492,0.0951295398262559,0.098562442761728,0.1032850246151286,0.1063429918292518,0.0447963421977385,0.0065440723899726,,0.0956895513767911,0.0945040992191042,0.158181260585322,0.1558092705393725,0.142766558441119,0.1366364780372596,0.1570671053729248,0.1013991977259073,0.0956396932503737,0.0985298168200265,0.1568073305342197,0.1530067241890119,0.1422319231020236,0.1410667219839594,0.1563406119377159,0.158583093459714,0.0978390699069566,0.0958590706630335,0.094552021033966,0.1050577405553563,0.0940398786144449,0.0887895936658178,0.088337754883909,0.085637195726191,0.0872127371340545,0.0450267397688818,0.041915235509367,0.040407419154238,0.0437461932809735,0.1363499857628811,0.13907228850953,0.1003258636332941,0.1000244733099181,0.0994626913176055,0.0312248524838653,0.0322033555548618,0.1001990809872728,0.0999553297344652,0.1008233846537739,0.1019573390721383,0.1008275898444929,0.1030823760425209,0.0866570245804831,0.0892049499131836,0.0596029389355761,0.060863343249319,0.1333809325264617,0.1342795631028889,0.0346152715519629,0.0883061510521638,0.0883269127844484,0.134534092746703,0.0172589612102553,0.0437057842769172,0.1410213176780024,0.1377561395595788,0.1402845584237109,0.1387772493358104,0.1409393837172492,0.0985052433983166,0.110232059339839,0.0991372870453662,0.0992779746168585,0.0989318881738331,0.0967705252977545,0.0987354799023609,0.1012364259439502,0.0997651161318315,0.0453166863204661,0.0589089613707178,0.0316323498920374
Anozopathes_hawaiiensis_USNM1010741,0.0326647049855219,0.0353311931342319,0.064988307702935,0.0675055893964779,0.1045585836014769,0.09428422795389,0.0956895513767911,,0.0133140143072186,0.1326182406240113,0.1362100689450558,0.1129433632001472,0.1089920691169193,0.1314186429153724,0.0768341074336634,0.0174664836168134,0.0205170055833985,0.1303590944175663,0.1298385598861164,0.1110528755469267,0.1093201029003699,0.1326468567752035,0.1296769801366879,0.0293868326180364,0.0309741577061305,0.0337577849435933,0.0680066082256463,0.0159038635394599,0.0580052960810072,0.0668582743611445,0.0618149631608487,0.0618154999565063,0.0959658418369348,0.1007102305753169,0.0968182677004602,0.097666395651516,0.1070093555456212,0.1124447148582138,0.0770500936584476,0.0733409309113119,0.0753222530685939,0.0949546006270204,0.094982547020049,0.0778605282764853,0.0759855685052034,0.075961031280452,0.0778929377860054,0.0776776123085436,0.0787498421289367,0.0679086776015209,0.0635293111798559,0.0942084145288598,0.0949180298162886,0.1343884248670357,0.1369567072501496,0.0988913806433467,0.0621841395965229,0.0642888076603932,0.1031851117678315,0.0949551933842616,0.0989162058168756,0.1098186924587849,0.1097876627266356,0.1150064867184277,0.1087747432273845,0.1112282768319278,0.0739825463382976,0.0834191310888931,0.0744525345379855,0.0751017561358509,0.0727546600796036,0.0726426213857083,0.071881644086225,0.0761549560093859,0.0750271289880218,0.0989781683458739,0.0903053894499244,0.0961880651699645
Anozopathes_palauensis_USNM1007104,0.0336947154901343,0.0375378841171814,0.063656868571255,0.0684696922455895,0.1031215707183518,0.0929531541613638,0.0945040992191042,0.0133140143072186,,0.1290666096893548,0.1303012985003376,0.1077464565488521,0.107169283081877,0.1323947471205396,0.0770137417001686,0.0099137508611387,0.0184255118513281,0.1279872711829677,0.1277096989275694,0.1090839446947605,0.1090328384112994,0.1279264294644921,0.1314348898602119,0.0295440216961395,0.0370311095551203,0.0321551248301836,0.0649282797383985,0.0131061398223465,0.0599292399123732,0.0630169277383793,0.0601352243147143,0.0587124071399934,0.1008082055609177,0.1010924874106026,0.0962486231401538,0.0969592154281618,0.1033025969290871,0.1110558041648529,0.0755021774875298,0.0734290001381667,0.0750846768934405,0.0944230113847641,0.096984733232984,0.0764577532946332,0.0752065969008576,0.0756203958260517,0.0764543462308057,0.0759664052072024,0.0775017942894283,0.0618894672837554,0.0627630189676587,0.0940662177768908,0.0940169385138301,0.1362423739640504,0.1395520747658664,0.1001938705873344,0.0616896986116073,0.0628920945848933,0.1029571547772063,0.0948121618425383,0.0967254192555544,0.111103247624751,0.1069616041709805,0.1119888652050532,0.1075248473807793,0.1105911668701048,0.0746521095995137,0.0933160610490134,0.0721258946993004,0.0734584351058867,0.0734687249550205,0.0742838403592508,0.072135791136283,0.0748854494443701,0.0741869934646809,0.0971795533369338,0.092195616197192,0.0953438802688097
Antipathes_aculeata_MTQG80032,0.1303306114629469,0.132462360588507,0.122219987109837,0.1272778980964375,0.1614996464351524,0.1580600365492644,0.158181260585322,0.1326182406240113,0.1290666096893548,,0.0281443143709011,0.0966159872753662,0.0903706709335331,0.0288887770479718,0.1414092543481899,0.1307116164744986,0.1350395789278247,0.0048300505814785,0.0296937504397236,0.0933626112978635,0.0939079067525708,0.0221163003921615,0.0331460059710505,0.1319041628995662,0.1312118190993294,0.1309391202100017,0.125923025535228,0.1322796772300257,0.1352930517527604,0.1402533191710571,0.1324470006686001,0.1337860576161555,0.160758793606527,0.163228639389339,0.1588823402863611,0.1551920947596864,0.0894885530114851,0.0941790747962024,0.1402524316872806,0.1406744142629944,0.1417025337710238,0.1585860131397237,0.1578491623197153,0.14256641379988,0.1413525667214931,0.1419729749668748,0.1460211764303188,0.1427170596665918,0.1472842769323459,0.130912146299211,0.134982799465389,0.1546638206796797,0.1551138277104,0.1839420999197978,0.1837410885438815,0.1599126251196804,0.1372673672133748,0.1325660113263495,0.0858584427439844,0.1572009315140445,0.1593213990291828,0.0942554363590565,0.0937062508510143,0.0931178032133383,0.0898611789176302,0.0925844702779567,0.1379218746829409,0.1370020667433724,0.1392390058112854,0.1407788304592064,0.1412449958400695,0.1400683273613837,0.1398668919257892,0.1413320052797936,0.1397610137935634,0.1597039430020158,0.155198705582697,0.1584725117184316
