Gress et al. 2026. Supplementary Material. Eidikopathidae intraspecific distance comparisons.

specimen1,specimen2,species1,species2,distance
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_korallispongia_RSIOANT0050,korallispongia,korallispongia,0.00026
Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_RSIOANT0051,sylospongia,sylospongia,0.00088
Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_sylospongia_USNM1467600,sylospongia,sylospongia,0.00119
Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_sylospongia_USNM1467600,sylospongia,sylospongia,0.00119
