Gress et al. 2026. Supplementary Material. Eidikopathidae interspecific distance comparisons.

specimen1,specimen2,species1,species2,distance
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_sylospongia_RSIOANT0049,korallispongia,sylospongia,0.00395
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_sylospongia_RSIOANT0051,korallispongia,sylospongia,0.00404
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_sylospongia_USNM1467600,korallispongia,sylospongia,0.00458
Eidikopathes_korallispongia_RSIOANT0048,Eidikopathes_zealandkorallia_NIWA180818,korallispongia,zealandkorallia,0.00823
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0049,korallispongia,sylospongia,0.00384
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_RSIOANT0051,korallispongia,sylospongia,0.00399
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_sylospongia_USNM1467600,korallispongia,sylospongia,0.00456
Eidikopathes_korallispongia_RSIOANT0050,Eidikopathes_zealandkorallia_NIWA180818,korallispongia,zealandkorallia,0.00823
Eidikopathes_sylospongia_RSIOANT0049,Eidikopathes_zealandkorallia_NIWA180818,sylospongia,zealandkorallia,0.00807
Eidikopathes_sylospongia_RSIOANT0051,Eidikopathes_zealandkorallia_NIWA180818,sylospongia,zealandkorallia,0.00812
Eidikopathes_sylospongia_USNM1467600,Eidikopathes_zealandkorallia_NIWA180818,sylospongia,zealandkorallia,0.00815
